date,page,query,clicks,ctr,impressions,position
2022-06-24,https://de.misumi-ec.com/,misumi,194,28.487518355359764,681,1.52
2022-06-24,https://de.misumi-ec.com/,misumi europa gmbh,25,30.48780487804878,82,1.09
2022-06-24,https://de.misumi-ec.com/de/produkte/,misumi,15,2.4193548387096775,620,1.02
2022-06-24,https://de.misumi-ec.com/,misumi de,8,88.88888888888889,9,1.0
2022-06-24,https://de.misumi-ec.com/,misumi europa,8,25.806451612903224,31,1.52
2022-06-24,https://de.misumi-ec.com/pdf/fa/2014/P1_2287-2288_F80_DE.pdf,h7 passung,7,31.818181818181817,22,1.05
2022-06-24,https://de.misumi-ec.com/,mizumi,5,38.46153846153847,13,1.62
2022-06-24,https://de.misumi-ec.com/pdf/fa/2014/P1_2287-2288_F80_DE.pdf,passungen tabelle,5,14.705882352941178,34,3.5
2022-06-24,https://de.misumi-ec.com/pdf/fa/2014/P1_2287-2288_F80_DE.pdf,toleranz h7,5,45.45454545454545,11,1.0
2022-06-24,https://de.misumi-ec.com/vona2/mech/,misumi,5,0.7716049382716049,648,1.03
2022-06-24,https://de.misumi-ec.com/vona2/mech_screw/M1809000000/,sprengring,5,2.6455026455026456,189,4.19
2022-06-24,https://de.misumi-ec.com/pdf/fa/2014/P1_2287-2288_F80_DE.pdf,h7 toleranz,4,20.0,20,1.0
2022-06-24,https://de.misumi-ec.com/pdf/fa/2014/P1_2287-2288_F80_DE.pdf,passung h7,4,23.52941176470588,17,1.0
2022-06-24,https://de.misumi-ec.com/pdf/fa/2014/P1_2287-2288_F80_DE.pdf,presspassung,4,23.52941176470588,17,2.88
2022-06-24,https://de.misumi-ec.com/pdf/press/us_12e_pr1265.pdf,jis b 0408,4,66.66666666666666,6,1.0
2022-06-24,https://de.misumi-ec.com/,misumi schweiz,3,37.5,8,1.0
2022-06-24,https://de.misumi-ec.com/,mitsumi,3,25.0,12,1.58
2022-06-24,https://de.misumi-ec.com/pdf/fa/2014/P1_2287-2288_F80_DE.pdf,passungen,3,8.333333333333332,36,4.31
2022-06-24,https://de.misumi-ec.com/pdf/fa/p2863.pdf,adc12 datenblatt,3,60.0,5,1.0
2022-06-24,https://de.misumi-ec.com/pdf/press/us_12e_pr1263.pdf,p7 tolerance,3,60.0,5,2.2
2022-06-24,https://de.misumi-ec.com/vona2/mech/M1000000000/M1006000000/M1006040000/,schneckengetriebe,3,2.727272727272727,110,4.96
2022-06-24,https://de.misumi-ec.com/vona2/mech/M1200000000/M1202000000/M1202030000/,druckfeder,3,2.5423728813559325,118,3.96
2022-06-24,https://de.misumi-ec.com/,missumi,2,50.0,4,3.25
2022-06-24,https://de.misumi-ec.com/,misumi deutschland,2,25.0,8,1.0
2022-06-24,https://de.misumi-ec.com/,misumi europe,2,11.11111111111111,18,1.67
2022-06-24,https://de.misumi-ec.com/,misumi online shop,2,16.666666666666664,12,1.0
2022-06-24,https://de.misumi-ec.com/,msiumi,2,100.0,2,1.0
2022-06-24,https://de.misumi-ec.com/de/produkte/,misumi europa,2,8.0,25,1.12
2022-06-24,https://de.misumi-ec.com/de/produkte/,misumi europa gmbh,2,2.73972602739726,73,1.16
2022-06-24,https://de.misumi-ec.com/de/produkte/,misumi produkte,2,100.0,2,1.0
2022-06-24,https://de.misumi-ec.com/de/service/faq-und-tutorials/bestellung-und-lieferung/,misumi versandkosten,2,100.0,2,1.0
2022-06-24,https://de.misumi-ec.com/de/service/kontakt/,misumi europa gmbh,2,3.225806451612903,62,1.16
2022-06-24,https://de.misumi-ec.com/de/unternehmen/misumi-europa/,misumi europa gmbh,2,2.5,80,1.15
2022-06-24,https://de.misumi-ec.com/pdf/fa/2014/P1_2287-2288_F80_DE.pdf,g6 passung,2,100.0,2,1.0
2022-06-24,https://de.misumi-ec.com/pdf/fa/2014/P1_2287-2288_F80_DE.pdf,h6 h7,2,100.0,2,1.0
2022-06-24,https://de.misumi-ec.com/pdf/fa/2014/P1_2287-2288_F80_DE.pdf,h9 toleranz bohrung,2,100.0,2,1.0
2022-06-24,https://de.misumi-ec.com/pdf/fa/2014/P1_2287-2288_F80_DE.pdf,m6 passung,2,100.0,2,1.0
2022-06-24,https://de.misumi-ec.com/pdf/fa/2014/P1_2287-2288_F80_DE.pdf,passung f7,2,100.0,2,1.0
2022-06-24,https://de.misumi-ec.com/pdf/fa/2014/P1_2287-2288_F80_DE.pdf,passung h5,2,100.0,2,1.0
2022-06-24,https://de.misumi-ec.com/pdf/fa/2014/P1_2287-2288_F80_DE.pdf,passung h9,2,100.0,2,1.0
2022-06-24,https://de.misumi-ec.com/pdf/fa/2014/P1_2287-2288_F80_DE.pdf,passung m6,2,40.0,5,1.0
2022-06-24,https://de.misumi-ec.com/pdf/fa/2014/P1_2287-2288_F80_DE.pdf,spielpassung tabelle,2,50.0,4,1.75
2022-06-24,https://de.misumi-ec.com/pdf/fa/2014/P1_2287-2288_F80_DE.pdf,toleranz e7,2,100.0,2,1.0
2022-06-24,https://de.misumi-ec.com/pdf/fa/2014/P1_2287-2288_F80_DE.pdf,toleranzen und passungen tabelle,2,40.0,5,7.8
2022-06-24,https://de.misumi-ec.com/pdf/fa/p2863.pdf,c3604 datenblatt,2,50.0,4,1.0
2022-06-24,https://de.misumi-ec.com/pdf/press/us_12e_pr1263.pdf,10h8 tolerance,2,50.0,4,2.0
2022-06-24,https://de.misumi-ec.com/pdf/press/us_12e_pr1263.pdf,d10 tolerance chart,2,100.0,2,1.0
2022-06-24,https://de.misumi-ec.com/pdf/press/us_12e_pr1263.pdf,h7 hole tolerance,2,15.384615384615385,13,4.38
2022-06-24,https://de.misumi-ec.com/pdf/press/us_12e_pr1263.pdf,h7 tolerance,2,1.834862385321101,109,5.72
2022-06-24,https://de.misumi-ec.com/pdf/press/us_12e_pr1263.pdf,k7 tolerance,2,40.0,5,2.4
2022-06-24,https://de.misumi-ec.com/pdf/vona/el/SME1/SME1_1742430-BP_Data_sheet_de1.pdf,3rv2021-1ea10,2,28.57142857142857,7,8.29
2022-06-24,https://de.misumi-ec.com/vona2/detail/110300031960/,gleitlager mit bund,2,11.11111111111111,18,3.28
2022-06-24,https://de.misumi-ec.com/vona2/detail/110300284570/,erdungsbürsten,2,66.66666666666666,3,3.33
2022-06-24,https://de.misumi-ec.com/vona2/detail/110300534220/,kunststoffscheiben rund mit loch,2,28.57142857142857,7,1.0
2022-06-24,https://de.misumi-ec.com/vona2/detail/110302255430/,gelenkhalter,2,22.22222222222222,9,2.78
2022-06-24,https://de.misumi-ec.com/vona2/detail/221004900402/,rotationsdämpfer,2,25.0,8,3.0
2022-06-24,https://de.misumi-ec.com/vona2/detail/221006256655/,handgriffe kunststoff,2,66.66666666666666,3,2.0
2022-06-24,https://de.misumi-ec.com/vona2/detail/221006356937/,bolzen mit bund,2,50.0,4,5.0
2022-06-24,https://de.misumi-ec.com/vona2/detail/221006491195/,din 5416,2,100.0,2,1.0
2022-06-24,https://de.misumi-ec.com/vona2/maker/misumi/mech/M1600000000/M1606000000/,geräterollen,2,25.0,8,2.0
2022-06-24,https://de.misumi-ec.com/vona2/maker/vessel/fs_processing/T0600000000/T0607000000/,vessel schraubendreher,2,66.66666666666666,3,1.0
2022-06-24,https://de.misumi-ec.com/vona2/mech/M0100000000/M0104000000/,linearkugellager,2,6.896551724137931,29,1.48
2022-06-24,https://de.misumi-ec.com/vona2/mech/M0100000000/M0107000000/M0107080000/,gleitlagerbuchsen,2,7.142857142857142,28,2.04
2022-06-24,https://de.misumi-ec.com/vona2/mech/M0100000000/M0107000000/M0107090000/,anlaufscheibe,2,9.090909090909092,22,4.77
2022-06-24,https://de.misumi-ec.com/vona2/mech/M0300000000/M0311000000/M0311030000/?CategorySpec=00000236093%3A%3Amig00000002117520,m12x1,2,16.666666666666664,12,2.5
2022-06-24,https://de.misumi-ec.com/vona2/mech/M1000000000/M1001000000/M1001090000/,wellenkupplung,2,4.166666666666666,48,3.17
2022-06-24,https://de.misumi-ec.com/vona2/mech/M1000000000/M1006000000/M1006050000/,zahnstange,2,2.666666666666667,75,3.17
2022-06-24,https://de.misumi-ec.com/vona2/mech/M1000000000/M1010000000/,spannsatz welle nabe,2,20.0,10,1.2
2022-06-24,https://de.misumi-ec.com/vona2/mech/M1100000000/M1105000000/M1105040000/,führungsrollen,2,6.896551724137931,29,1.93
2022-06-24,https://de.misumi-ec.com/vona2/mech/M1100000000/M1105000000/M1105040000/?CategorySpec=00000196435%3A%3Aa,führungsrolle stahl,2,100.0,2,2.0
2022-06-24,https://de.misumi-ec.com/vona2/mech/M1200000000/M1202000000/M1202030000/,druckfedern,2,3.3333333333333335,60,3.97
